Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.34     0.00     8179     0.00     0.00  tinyobj::parseReal(char const**, double)
  0.00      1.34     0.00     5691     0.00     0.00  Vertex::Vertex()
  0.00      1.34     0.00     2990     0.00     0.00  std::vector<tinyobj::vertex_index_t, std::allocator<tinyobj::vertex_index_t> >::vector(std::vector<tinyobj::vertex_index_t, std::allocator<tinyobj::vertex_index_t> > const&)
  0.00      1.34     0.00     2703     0.00     0.00  Entity::computeCenter()
  0.00      1.34     0.00     2544     0.00     0.00  Mat4::determinant() const
  0.00      1.34     0.00     2131     0.00     0.00  tinyobj::parseReal(char const**, float*)
  0.00      1.34     0.00     1512     0.00     0.00  Vertex::Vertex(Vec3 const&, Vec3 const&)
  0.00      1.34     0.00     1272     0.00     0.00  void std::vector<Entity const*, std::allocator<Entity const*> >::_M_emplace_back_aux<Entity const*>(Entity const*&&)
  0.00      1.34     0.00     1230     0.00     0.00  Mesh::addQuad(int, int, int, int)
  0.00      1.34     0.00      481     0.00     0.00  Mat4::CreateRotationMatrix(Vec3 const&)
  0.00      1.34     0.00      356     0.00     0.00  Mat4::operator*=(Mat4 const&)
  0.00      1.34     0.00      318     0.00     0.00  Mat4::CreateScreenConversionMatrix()
  0.00      1.34     0.00      176     0.00     0.00  Mat4::CreateTranslationMatrix(Vec3 const&)
  0.00      1.34     0.00      159     0.00     8.36  Rasterizer::RenderScene(Scene*, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode)
  0.00      1.34     0.00      159     0.00     1.82  FrameBuffer::ResetPixels()
  0.00      1.34     0.00      159     0.00     0.00  Mat4::CreatePerspectiveProjectionMatrix(int, int, float, float, float)
  0.00      1.34     0.00      159     0.00     0.00  Mat4::operator=(Mat4 const&)
  0.00      1.34     0.00      159     0.00     0.00  Camera::inputs(float, GLFWwindow*)
  0.00      1.34     0.00      159     0.00     0.00  Camera::actualize()
  0.00      1.34     0.00      159     0.00     0.00  DoOnce::input(bool)
  0.00      1.34     0.00      159     0.00     0.00  Mat4::GetInverse() const
  0.00      1.34     0.00      159     0.00     0.00  Mat4::CoMatrix() const
  0.00      1.34     0.00      159     0.00     0.00  Mat4::operator*(Mat4 const&) const
  0.00      1.34     0.00      159     0.00     0.00  std::_Function_base::_Base_manager<Events::run()::{lambda(bool)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<Events::run()::{lambda(bool)#1}> const&, std::_Manager_operation)
  0.00      1.34     0.00      159     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<Entity const**, std::vector<Entity const*, std::allocator<Entity const*> > >, __gnu_cxx::__ops::_Iter_comp_iter<Rasterizer::RenderScene(Scene*, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode)::{lambda(Entity const*, Entity const*)#1}> >(__gnu_cxx::__normal_iterator<Entity const**, std::vector<Entity const*, std::allocator<Entity const*> > >, __gnu_cxx::__ops::_Iter_comp_iter<Rasterizer::RenderScene(Scene*, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode)::{lambda(Entity const*, Entity const*)#1}>, __gnu_cxx::__ops::_Iter_comp_iter<Rasterizer::RenderScene(Scene*, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode)::{lambda(Entity const*, Entity const*)#1}>)
  0.00      1.34     0.00      159     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<Entity const**, std::vector<Entity const*, std::allocator<Entity const*> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<Rasterizer::RenderScene(Scene*, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode)::{lambda(Entity const*, Entity const*)#1}> >(__gnu_cxx::__normal_iterator<Entity const**, std::vector<Entity const*, std::allocator<Entity const*> > >, __gnu_cxx::__ops::_Iter_comp_iter<Rasterizer::RenderScene(Scene*, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode)::{lambda(Entity const*, Entity const*)#1}>, long, __gnu_cxx::__ops::_Iter_comp_iter<Rasterizer::RenderScene(Scene*, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode)::{lambda(Entity const*, Entity const*)#1}>)
  0.00      1.34     0.00      156     0.00     0.00  tinyobj::texture_option_t::texture_option_t(tinyobj::texture_option_t const&)
  0.00      1.34     0.00      113     0.00     0.00  std::_Function_base::_Base_manager<Material::additionalShaders::{lambda(Color&, Vec3&)#1}>::_M_manager(std::_Any_data&, Material::additionalShaders::{lambda(Color&, Vec3&)#1} const&, std::_Manager_operation)
  0.00      1.34     0.00       60     0.00     0.00  tinyobj::parseReal3(float*, float*, float*, char const**, double, double, double)
  0.00      1.34     0.00       41     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_emplace_back_aux<float const&>(float const&)
  0.00      1.34     0.00       41     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_erase(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*)
  0.00      1.34     0.00       28     0.00     0.00  tinyobj::_material_t::~_material_t()
  0.00      1.34     0.00       28     0.00     0.00  tinyobj::ParseTextureNameAndOption(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, tinyobj::texture_option_t*, char const*)
  0.00      1.34     0.00       20     0.00     0.00  void std::vector<Vertex, std::allocator<Vertex> >::_M_emplace_back_aux<Vertex>(Vertex&&)
  0.00      1.34     0.00       18     0.00     0.00  Mat4::IdentityInArray()
  0.00      1.34     0.00       17     0.00     0.00  Mat4::CreateScaleMatrix(Vec3 const&)
  0.00      1.34     0.00       17     0.00     0.00  void std::vector<Entity, std::allocator<Entity> >::emplace_back<Entity>(Entity&&)
  0.00      1.34     0.00       16     0.00     0.00  Entity::Entity()
  0.00      1.34     0.00       16     0.00     0.00  std::vector<Vertex, std::allocator<Vertex> >::reserve(unsigned long)
  0.00      1.34     0.00       15     0.00     0.00  void std::vector<tinyobj::index_t, std::allocator<tinyobj::index_t> >::_M_emplace_back_aux<tinyobj::index_t const&>(tinyobj::index_t const&)
  0.00      1.34     0.00       14     0.00     0.00  tinyobj::parseString(char const**)
  0.00      1.34     0.00       14     0.00     0.00  tinyobj::exportGroupsToShape(tinyobj::shape_t*, tinyobj::PrimGroup const&, std::vector<tinyobj::tag_t, std::allocator<tinyobj::tag_t> > const&, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool, std::vector<float, std::allocator<float> > const&)
  0.00      1.34     0.00       14     0.00     0.00  void std::vector<Vertex, std::allocator<Vertex> >::_M_emplace_back_aux<Vertex&>(Vertex&)
  0.00      1.34     0.00       13     0.00     0.00  tinyobj::InitMaterial(tinyobj::_material_t*)
  0.00      1.34     0.00       13     0.00     0.00  void std::vector<unsigned char, std::allocator<unsigned char> >::_M_emplace_back_aux<unsigned char>(unsigned char&&)
  0.00      1.34     0.00       13     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_emplace_back_aux<int>(int&&)
  0.00      1.34     0.00       13     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::_M_emplace_back_aux<unsigned int const&>(unsigned int const&)
  0.00      1.34     0.00       12     0.00     0.00  tinyobj::_material_t::_material_t(tinyobj::_material_t const&)
  0.00      1.34     0.00       12     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.34     0.00       12     0.00     0.00  std::vector<tinyobj::tag_t, std::allocator<tinyobj::tag_t> >::operator=(std::vector<tinyobj::tag_t, std::allocator<tinyobj::tag_t> > const&)
  0.00      1.34     0.00       12     0.00     0.00  void std::vector<tinyobj::face_t, std::allocator<tinyobj::face_t> >::_M_emplace_back_aux<tinyobj::face_t const&>(tinyobj::face_t const&)
  0.00      1.34     0.00       12     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::_M_emplace_back_aux<unsigned int>(unsigned int&&)
  0.00      1.34     0.00       12     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, bool> std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > >::_M_insert_unique<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int> >(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int>&&)
  0.00      1.34     0.00       12     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > >::_M_get_insert_unique_pos(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.34     0.00       12     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.34     0.00       10     0.00     0.00  Mesh::CreateCube()
  0.00      1.34     0.00        7     0.00     0.00  Texture::~Texture()
  0.00      1.34     0.00        6     0.00     0.00  Mesh::CreateSphere(unsigned int, unsigned int)
  0.00      1.34     0.00        6     0.00     0.00  void std::vector<Entity, std::allocator<Entity> >::_M_emplace_back_aux<Entity>(Entity&&)
  0.00      1.34     0.00        5     0.00     0.00  void std::vector<tinyobj::_material_t, std::allocator<tinyobj::_material_t> >::_M_emplace_back_aux<tinyobj::_material_t const&>(tinyobj::_material_t const&)
  0.00      1.34     0.00        4     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_emplace_back_aux<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.34     0.00        3     0.00     0.00  Texture::Texture(char const*)
  0.00      1.34     0.00        3     0.00     0.00  Texture::Texture(Texture&&)
  0.00      1.34     0.00        3     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
  0.00      1.34     0.00        2     0.00     0.00  _GLOBAL__sub_I__ZN11FrameBufferD2Ev
  0.00      1.34     0.00        2     0.00     0.00  _GLOBAL__sub_I__ZN15RenderTriangle214projectAndDrawERSt6vectorI5LightSaIS1_EEPK6EntityP11FrameBufferRK4Mat4SC_R6Camera16E_RasterizerMode
  0.00      1.34     0.00        2     0.00     0.00  tinyobj::shape_t::~shape_t()
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z8getpixelP11SDL_Surfaceii
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN10Rasterizer23antiAliasingCompressionERK11FrameBufferR7Texture
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13SDL_UtilitiesC2ERb
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN16RessourceManagerC2Ev
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4Mat415IdentityInArrayEv
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4Mesh11addTriangleEjjj
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4Vec2C2Ev
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5SceneC2Ev
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6CameraC2Ev
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6Entity13computeCenterEv
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6VertexC2Ev
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN7tinyobj14MaterialReaderD2Ev
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZlsRSoRK4Vec3
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZlsRSoRK4Vec4
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZlsRSoRK5Color
  0.00      1.34     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00      1.34     0.00        1     0.00     0.07  loadMeshFromObj(RessourceManager&)
  0.00      1.34     0.00        1     0.00     0.00  DepthBuffer::DepthBuffer(unsigned int, unsigned int)
  0.00      1.34     0.00        1     0.00     0.00  DepthBuffer::~DepthBuffer()
  0.00      1.34     0.00        1     0.00    10.00  FrameBuffer::FrameBuffer(unsigned int, unsigned int)
  0.00      1.34     0.00        1     0.00     0.00  FrameBuffer::~FrameBuffer()
  0.00      1.34     0.00        1     0.00     0.00  RessourceManager::RessourceManager()
  0.00      1.34     0.00        1     0.00     0.00  RessourceManager::~RessourceManager()
  0.00      1.34     0.00        1     0.00     0.00  Scene::Scene()
  0.00      1.34     0.00        1     0.00     0.00  Scene::~Scene()
  0.00      1.34     0.00        1     0.00     0.00  Camera::Camera()
  0.00      1.34     0.00        1     0.00     0.08  Events::entitiesInit(std::vector<Entity, std::allocator<Entity> >&)
  0.00      1.34     0.00        1     0.00     0.00  tinyobj::MaterialFileReader::operator()(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<tinyobj::_material_t, std::allocator<tinyobj::_material_t> >*, std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      1.34     0.00        1     0.00     0.00  tinyobj::LoadMtl(std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > >*, std::vector<tinyobj::_material_t, std::allocator<tinyobj::_material_t> >*, std::istream*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      1.34     0.00        1     0.00     0.00  tinyobj::LoadObj(tinyobj::attrib_t*, std::vector<tinyobj::shape_t, std::allocator<tinyobj::shape_t> >*, std::vector<tinyobj::_material_t, std::allocator<tinyobj::_material_t> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, char const*, char const*, bool, bool)
  0.00      1.34     0.00        1     0.00     0.00  tinyobj::LoadObj(tinyobj::attrib_t*, std::vector<tinyobj::shape_t, std::allocator<tinyobj::shape_t> >*, std::vector<tinyobj::_material_t, std::allocator<tinyobj::_material_t> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::istream*, tinyobj::MaterialReader*, bool, bool)
  0.00      1.34     0.00        1     0.00     0.00  tinyobj::shape_t::shape_t(tinyobj::shape_t const&)
  0.00      1.34     0.00        1     0.00     0.00  tinyobj::shape_t::operator=(tinyobj::shape_t&&)
  0.00      1.34     0.00        1     0.00     0.00  tinyobj::SplitString(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&) [clone .constprop.562]
  0.00      1.34     0.00        1     0.00     0.00  std::_Function_base::_Base_manager<DoOnce::onSwitch::{lambda(bool)#1}>::_M_manager(std::_Any_data&, DoOnce::onSwitch::{lambda(bool)#1} const&, std::_Manager_operation)
  0.00      1.34     0.00        1     0.00     0.00  void std::vector<Light, std::allocator<Light> >::_M_emplace_back_aux<Light>(Light&&)
  0.00      1.34     0.00        1     0.00     0.00  std::vector<tinyobj::tag_t, std::allocator<tinyobj::tag_t> >::~vector()
  0.00      1.34     0.00        1     0.00     0.00  void std::vector<tinyobj::shape_t, std::allocator<tinyobj::shape_t> >::_M_emplace_back_aux<tinyobj::shape_t const&>(tinyobj::shape_t const&)
  0.00      1.34     0.00        1     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >*)
  0.00      1.34     0.00        1     0.00     0.00  std::_Rb_tree<Mesh*, Mesh*, std::_Identity<Mesh*>, std::less<Mesh*>, std::allocator<Mesh*> >::_M_erase(std::_Rb_tree_node<Mesh*>*)
  0.00      1.34     0.00        1     0.00     0.00  find_coreGL
  0.00      1.34     0.00        1     0.00     0.00  get_proc
  0.00      1.34     0.00        1     0.00     0.00  gladLoadGL

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2017 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.75% of 1.34 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    1.34                 Events::run() [1]
                0.00    1.33     159/159         Rasterizer::RenderScene(Scene*, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode) [2]
                0.00    0.01       1/1           FrameBuffer::FrameBuffer(unsigned int, unsigned int) [16]
                0.00    0.00       1/1           Events::entitiesInit(std::vector<Entity, std::allocator<Entity> >&) [18]
                0.00    0.00     318/481         Mat4::CreateRotationMatrix(Vec3 const&) [52]
                0.00    0.00     318/356         Mat4::operator*=(Mat4 const&) [53]
                0.00    0.00     159/159         Camera::inputs(float, GLFWwindow*) [58]
                0.00    0.00     159/159         DoOnce::input(bool) [60]
                0.00    0.00     159/159         Camera::actualize() [59]
                0.00    0.00     159/159         Mat4::GetInverse() const [61]
                0.00    0.00     159/159         Mat4::CreatePerspectiveProjectionMatrix(int, int, float, float, float) [56]
                0.00    0.00     158/159         std::_Function_base::_Base_manager<Events::run()::{lambda(bool)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<Events::run()::{lambda(bool)#1}> const&, std::_Manager_operation) [64]
                0.00    0.00       1/7           Texture::~Texture() [94]
                0.00    0.00       1/1           FrameBuffer::~FrameBuffer() [122]
                0.00    0.00       1/1           std::_Function_base::_Base_manager<DoOnce::onSwitch::{lambda(bool)#1}>::_M_manager(std::_Any_data&, DoOnce::onSwitch::{lambda(bool)#1} const&, std::_Manager_operation) [135]
                0.00    0.00       1/1           void std::vector<Light, std::allocator<Light> >::_M_emplace_back_aux<Light>(Light&&) [136]
-----------------------------------------------
                0.00    1.33     159/159         Events::run() [1]
[2]     99.2    0.00    1.33     159         Rasterizer::RenderScene(Scene*, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode) [2]
                0.04    0.92     318/318         renderEntities(std::vector<Entity const*, std::allocator<Entity const*> >&, std::vector<Light, std::allocator<Light> >&, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode) [3]
                0.00    0.29     159/159         FrameBuffer::ResetPixels() [6]
                0.05    0.00     159/159         DepthBuffer::resetDepth() [9]
                0.01    0.01  993591/993591      Vertex::changeRef(Mat4 const&) [12]
                0.01    0.00  993591/3699493     Vertex::Vertex(Vertex const&) [14]
                0.00    0.00    2703/2703        Entity::computeCenter() [46]
                0.00    0.00    1272/1272        void std::vector<Entity const*, std::allocator<Entity const*> >::_M_emplace_back_aux<Entity const*>(Entity const*&&) [50]
                0.00    0.00     159/159         void std::__introsort_loop<__gnu_cxx::__normal_iterator<Entity const**, std::vector<Entity const*, std::allocator<Entity const*> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<Rasterizer::RenderScene(Scene*, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode)::{lambda(Entity const*, Entity const*)#1}> >(__gnu_cxx::__normal_iterator<Entity const**, std::vector<Entity const*, std::allocator<Entity const*> > >, __gnu_cxx::__ops::_Iter_comp_iter<Rasterizer::RenderScene(Scene*, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode)::{lambda(Entity const*, Entity const*)#1}>, long, __gnu_cxx::__ops::_Iter_comp_iter<Rasterizer::RenderScene(Scene*, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode)::{lambda(Entity const*, Entity const*)#1}>) [66]
